base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff,combo_key
0.3,0.04,750,15,1.1,Sideways,20.62,2.84,20,20.9,17.78,0.3_0.04_750_15_1.1
0.2,0.03,250,15,1.2,Sideways,20.07,2.84,20,32.8,17.23,0.2_0.03_250_15_1.2
0.15,0.04,500,15,1.2,Sideways,19.45,2.84,20,20.95,16.61,0.15_0.04_500_15_1.2
0.2,0.04,500,15,1.1,Sideways,19.44,2.84,20,20.95,16.6,0.2_0.04_500_15_1.1
0.2,0.03,250,15,1.15,Sideways,19.32,2.84,20,32.8,16.48,0.2_0.03_250_15_1.15
0.2,0.03,500,15,1.15,Sideways,19.32,2.84,20,32.8,16.48,0.2_0.03_500_15_1.15
0.15,0.03,250,15,1.15,Sideways,18.93,2.84,20,32.85,16.09,0.15_0.03_250_15_1.15
0.25,0.03,500,15,1.1,Sideways,18.74,2.84,20,32.8,15.899999999999999,0.25_0.03_500_15_1.1
0.25,0.03,250,15,1.1,Sideways,18.74,2.84,20,32.8,15.899999999999999,0.25_0.03_250_15_1.1
0.2,0.03,500,15,1.1,Sideways,18.71,2.84,20,32.85,15.870000000000001,0.2_0.03_500_15_1.1
0.2,0.03,750,15,1.1,Sideways,18.71,2.84,20,32.85,15.870000000000001,0.2_0.03_750_15_1.1
0.15,0.04,250,15,1.1,Sideways,18.58,2.84,20,20.95,15.739999999999998,0.15_0.04_250_15_1.1
0.15,0.04,500,15,1.1,Sideways,18.58,2.84,20,20.95,15.739999999999998,0.15_0.04_500_15_1.1
0.15,0.035,500,15,1.2,Sideways,18.5,2.84,20,26.25,15.66,0.15_0.035_500_15_1.2
0.2,0.035,750,15,1.2,Sideways,18.5,2.84,20,26.25,15.66,0.2_0.035_750_15_1.2
0.2,0.035,750,15,1.15,Sideways,18.18,2.84,20,26.25,15.34,0.2_0.035_750_15_1.15
0.15,0.03,250,15,1.1,Sideways,18.1,2.84,20,32.85,15.260000000000002,0.15_0.03_250_15_1.1
0.15,0.03,500,15,1.1,Sideways,18.1,2.84,20,32.85,15.260000000000002,0.15_0.03_500_15_1.1
0.15,0.03,500,15,1.1,Sideways,18.1,2.84,20,32.85,15.260000000000002,0.15_0.03_500_15_1.1
0.2,0.03,250,15,1.05,Sideways,17.91,2.84,20,32.85,15.07,0.2_0.03_250_15_1.05
0.3,0.03,500,15,1.05,Sideways,17.91,2.84,20,32.8,15.07,0.3_0.03_500_15_1.05
0.15,0.025,750,15,1.2,Sideways,17.82,2.84,20,45.65,14.98,0.15_0.025_750_15_1.2
0.15,0.025,500,15,1.2,Sideways,17.82,2.84,20,45.65,14.98,0.15_0.025_500_15_1.2
0.1,0.04,250,15,1.15,Sideways,17.7,2.84,20,20.95,14.86,0.1_0.04_250_15_1.15
0.25,0.035,500,15,1.1,Sideways,17.63,2.84,20,26.25,14.79,0.25_0.035_500_15_1.1
0.25,0.035,500,15,1.1,Sideways,17.63,2.84,20,26.25,14.79,0.25_0.035_500_15_1.1
0.15,0.02,500,15,1.2,Sideways,17.6,2.84,20,65.5,14.760000000000002,0.15_0.02_500_15_1.2
0.15,0.025,250,15,1.15,Sideways,17.28,2.84,20,45.65,14.440000000000001,0.15_0.025_250_15_1.15
0.3,0.035,250,15,1.1,Sideways,17.27,2.84,20,26.15,14.43,0.3_0.035_250_15_1.1
0.15,0.03,250,15,1.05,Sideways,17.21,2.84,20,32.85,14.370000000000001,0.15_0.03_250_15_1.05
0.1,0.04,750,15,1.1,Sideways,17.0,2.84,20,20.95,14.16,0.1_0.04_750_15_1.1
0.3,0.035,500,15,1.05,Sideways,16.92,2.84,20,26.2,14.080000000000002,0.3_0.035_500_15_1.05
0.1,0.025,500,15,1.15,Sideways,16.89,2.84,20,45.65,14.05,0.1_0.025_500_15_1.15
0.1,0.025,250,15,1.15,Sideways,16.89,2.84,20,45.65,14.05,0.1_0.025_250_15_1.15
0.1,0.025,750,15,1.15,Sideways,16.89,2.84,20,45.65,14.05,0.1_0.025_750_15_1.15
0.2,0.025,500,15,1.1,Sideways,16.77,2.84,20,45.65,13.93,0.2_0.025_500_15_1.1
0.2,0.02,500,15,1.2,Sideways,16.74,2.84,20,65.45,13.899999999999999,0.2_0.02_500_15_1.2
0.15,0.025,250,15,1.1,Sideways,16.67,2.84,20,45.65,13.830000000000002,0.15_0.025_250_15_1.1
0.15,0.025,750,15,1.1,Sideways,16.67,2.84,20,45.65,13.830000000000002,0.15_0.025_750_15_1.1
0.3,0.025,750,15,1.1,Sideways,16.24,2.84,20,45.6,13.399999999999999,0.3_0.025_750_15_1.1
0.1,0.025,500,15,1.1,Sideways,16.16,2.84,20,45.65,13.32,0.1_0.025_500_15_1.1
0.1,0.025,250,15,1.1,Sideways,16.16,2.84,20,45.65,13.32,0.1_0.025_250_15_1.1
0.1,0.035,750,15,1.05,Sideways,16.02,2.84,20,26.25,13.18,0.1_0.035_750_15_1.05
0.3,0.025,500,15,1.05,Sideways,15.9,2.84,20,45.6,13.06,0.3_0.025_500_15_1.05
0.1,0.03,500,15,1.05,Sideways,15.77,2.84,20,32.85,12.93,0.1_0.03_500_15_1.05
0.1,0.02,500,15,1.05,Sideways,15.73,2.84,20,65.5,12.89,0.1_0.02_500_15_1.05
0.1,0.025,250,15,1.05,Sideways,15.41,2.84,20,45.65,12.57,0.1_0.025_250_15_1.05
0.25,0.02,250,15,1.1,Sideways,15.15,2.84,20,65.5,12.31,0.25_0.02_250_15_1.1
0.25,0.02,250,15,1.1,Sideways,15.15,2.84,20,65.5,12.31,0.25_0.02_250_15_1.1
0.3,0.02,500,15,1.05,Sideways,13.82,2.84,20,65.45,10.98,0.3_0.02_500_15_1.05
