combo_key,base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Overall_Weighted_Profit,Total_Months
0.3_0.04_750_15_1.1,0.3,0.04,750,15,1.1,40.10133333333333,60.0
0.2_0.04_500_15_1.1,0.2,0.04,500,15,1.1,38.50000000000001,60.0
0.15_0.04_500_15_1.1,0.15,0.04,500,15,1.1,37.95466666666667,60.0
0.15_0.04_250_15_1.1,0.15,0.04,250,15,1.1,37.95466666666667,60.0
0.1_0.04_750_15_1.1,0.1,0.04,750,15,1.1,37.716,60.0
0.1_0.03_500_15_1.05,0.1,0.03,500,15,1.05,37.583333333333336,60.0
0.1_0.04_250_15_1.15,0.1,0.04,250,15,1.15,37.437333333333335,60.0
0.15_0.04_500_15_1.2,0.15,0.04,500,15,1.2,37.38066666666667,60.0
0.15_0.03_250_15_1.05,0.15,0.03,250,15,1.05,37.32066666666666,60.0
0.15_0.03_500_15_1.1,0.15,0.03,500,15,1.1,37.284,120.0
0.15_0.03_250_15_1.1,0.15,0.03,250,15,1.1,37.284,60.0
0.15_0.03_250_15_1.15,0.15,0.03,250,15,1.15,37.221999999999994,60.0
0.1_0.035_750_15_1.05,0.1,0.035,750,15,1.05,37.17733333333333,60.0
0.2_0.03_250_15_1.05,0.2,0.03,250,15,1.05,37.001999999999995,60.0
0.1_0.025_250_15_1.05,0.1,0.025,250,15,1.05,36.99666666666667,60.0
0.2_0.03_750_15_1.1,0.2,0.03,750,15,1.1,36.97266666666666,60.0
0.2_0.03_500_15_1.1,0.2,0.03,500,15,1.1,36.97266666666666,60.0
0.2_0.03_250_15_1.15,0.2,0.03,250,15,1.15,36.902666666666654,60.0
0.2_0.03_500_15_1.15,0.2,0.03,500,15,1.15,36.89066666666666,60.0
0.2_0.03_250_15_1.2,0.2,0.03,250,15,1.2,36.878,60.0
0.1_0.025_250_15_1.1,0.1,0.025,250,15,1.1,36.824,60.0
0.1_0.025_500_15_1.1,0.1,0.025,500,15,1.1,36.824,60.0
0.1_0.025_500_15_1.15,0.1,0.025,500,15,1.15,36.658,60.0
0.1_0.025_750_15_1.15,0.1,0.025,750,15,1.15,36.658,60.0
0.1_0.025_250_15_1.15,0.1,0.025,250,15,1.15,36.658,60.0
0.25_0.03_250_15_1.1,0.25,0.03,250,15,1.1,36.654666666666664,60.0
0.25_0.03_500_15_1.1,0.25,0.03,500,15,1.1,36.64266666666666,60.0
0.1_0.02_500_15_1.05,0.1,0.02,500,15,1.05,36.618,60.0
0.3_0.03_500_15_1.05,0.3,0.03,500,15,1.05,36.391333333333336,60.0
0.15_0.025_250_15_1.1,0.15,0.025,250,15,1.1,36.29266666666667,60.0
0.15_0.025_750_15_1.1,0.15,0.025,750,15,1.1,36.29266666666667,60.0
0.15_0.025_250_15_1.15,0.15,0.025,250,15,1.15,36.19866666666667,60.0
0.15_0.025_750_15_1.2,0.15,0.025,750,15,1.2,36.13066666666666,60.0
0.15_0.025_500_15_1.2,0.15,0.025,500,15,1.2,36.13066666666666,60.0
0.15_0.035_500_15_1.2,0.15,0.035,500,15,1.2,36.12800000000001,60.0
0.2_0.035_750_15_1.15,0.2,0.035,750,15,1.15,35.751999999999995,60.0
0.2_0.025_500_15_1.1,0.2,0.025,500,15,1.1,35.63400000000001,60.0
0.2_0.035_750_15_1.2,0.2,0.035,750,15,1.2,35.52133333333334,60.0
0.25_0.035_500_15_1.1,0.25,0.035,500,15,1.1,35.306000000000004,120.0
0.3_0.035_500_15_1.05,0.3,0.035,500,15,1.05,34.904,60.0
0.15_0.02_500_15_1.2,0.15,0.02,500,15,1.2,34.82933333333334,60.0
0.3_0.035_250_15_1.1,0.3,0.035,250,15,1.1,34.45133333333333,60.0
0.3_0.025_500_15_1.05,0.3,0.025,500,15,1.05,34.135999999999996,60.0
0.2_0.02_500_15_1.2,0.2,0.02,500,15,1.2,34.105333333333334,60.0
0.3_0.025_750_15_1.1,0.3,0.025,750,15,1.1,34.08,60.0
0.25_0.02_250_15_1.1,0.25,0.02,250,15,1.1,33.78333333333334,120.0
0.3_0.02_500_15_1.05,0.3,0.02,500,15,1.05,33.51066666666667,60.0
